Tanggal,Penumpang
2022-11-23,"9,429"
2022-11-24,"10,635"
2022-11-25,"10,902"
2022-11-26,"11,410"
2022-11-27,"12,950"
2022-11-28,"10,704"
2022-11-29,"11,758"
2022-11-30,"10,994"
2022-12-01,"10,328"
2022-12-02,"10,474"
2022-12-03,"10,833"
2022-12-04,"11,793"
2022-12-05,"10,751"
2022-12-06,"10,885"
2022-12-07,"9,415"
2022-12-08,"10,370"
2022-12-09,"11,689"
2022-12-10,"10,935"
2022-12-11,"12,043"
2022-12-12,"11,823"
2022-12-13,"10,830"
2022-12-14,"11,552"
2022-12-15,"11,402"
2022-12-16,"12,720"
2022-12-17,"11,928"
2022-12-18,"12,121"
2022-12-19,"11,335"
2022-12-20,"12,335"
2022-12-21,"10,625"
2022-12-22,"12,156"
2022-12-23,"11,314"
2022-12-24,"11,412"
2022-12-25,"10,288"
2022-12-26,"11,890"
2022-12-27,"12,346"
2022-12-28,"12,003"
2022-12-29,"12,805"
2022-12-30,"13,944"
2022-12-31,"12,264"
2023-01-01,12870
2023-01-02,14398
2023-01-03,15832
2023-01-04,14543
2023-01-05,14960
2023-01-06,14479
2023-01-07,14565
2023-01-08,14240
2023-01-09,13592
2023-01-10,12630
2023-01-11,11640
2023-01-12,11957
2023-01-13,12448
2023-01-14,12245
2023-01-15,12204
2023-01-16,12181
2023-01-17,10935
2023-01-18,10473
2023-01-19,10986
2023-01-20,10475
2023-01-21,11133
2023-01-22,11891
2023-01-23,12683
2023-01-24,13267
2023-01-25,13315
2023-01-26,14706
2023-01-27,14229
2023-01-28,14243
2023-01-29,15697
2023-01-30,13050
2023-01-31,12098
2023-02-01,10196
2023-02-02,11232
2023-02-03,11026
2023-02-04,12154
2023-02-05,11837
2023-02-06,12173
2023-02-07,10084
2023-02-08,10602
2023-02-09,10777
2023-02-10,12683
2023-02-11,12275
2023-02-12,13372
2023-02-13,12578
2023-02-14,11743
2023-02-15,11358
2023-02-16,12165
2023-02-17,11823
2023-02-18,13539
2023-02-19,13916
2023-02-20,12963
2023-02-21,11798
2023-02-22,12114
2023-02-23,12701
2023-02-24,12704
2023-02-25,13863
2023-02-26,14383
2023-02-27,14124
2023-02-28,13375
2023-03-01,12132
2023-03-02,11545
2023-03-03,12188
2023-03-04,13409
2023-03-05,14394
2023-03-06,13069
2023-03-07,12777
2023-03-08,11184
2023-03-09,12091
2023-03-10,12563
2023-03-11,13440
2023-03-12,14766
2023-03-13,13479
2023-03-14,13600
2023-03-15,13328
2023-03-16,13154
2023-03-17,14739
2023-03-18,15504
2023-03-19,16379
2023-03-20,15147
2023-03-21,14873
2023-03-22,1638
2023-03-23,10970
2023-03-24,12131
2023-03-25,12404
2023-03-26,12624
2023-03-27,11875
2023-03-28,12054
2023-03-29,11098
2023-03-30,11331
2023-03-31,13312
2023-04-01,11577
2023-04-02,13906
2023-04-03,11553
2023-04-04,11781
2023-04-05,12030
2023-04-06,11764
2023-04-07,14374
2023-04-08,13876
2023-04-09,16009
2023-04-10,16178
2023-04-11,14357
2023-04-12,13903
2023-04-13,13658
2023-04-14,15610
2023-04-15,15036
2023-04-16,16705
2023-04-17,14754
2023-04-18,14560
2023-04-19,14651
2023-04-20,15023
2023-04-21,15445
2023-04-22,14088
2023-04-23,16167
2023-04-24,16095
2023-04-25,14522
2023-04-26,13956
2023-04-27,14141
2023-04-28,14737
2023-04-29,14740
2023-04-30,16407
2023-05-01,15729
2023-05-02,15011
2023-05-03,14750
2023-05-04,14524
2023-05-05,15776
2023-05-06,14828
2023-05-07,17036
2023-05-08,15721
2023-05-09,13332
2023-05-10,13565
2023-05-11,13801
2023-05-12,16093
2023-05-13,15006
2023-05-14,16683
2023-05-15,14993
2023-05-16,14074
2023-05-17,14631
2023-05-18,14230
2023-05-19,15624
2023-05-20,15153
2023-05-21,16418
2023-05-22,16076
2023-05-23,14774
2023-05-24,14633
2023-05-25,14898
2023-05-26,15887
2023-05-27,15723
2023-05-28,17492
2023-05-29,16939
2023-05-30,15761
2023-05-31,15757
2023-06-01,"15,343"
2023-06-02,"16,021"
2023-06-03,"15,530"
2023-06-04,"18,132"
2023-06-05,"16,902"
2023-06-06,"15,052"
2023-06-07,"14,953"
2023-06-08,"16,170"
2023-06-09,"16,463"
2023-06-10,"15,773"
2023-06-11,"17,473"
2023-06-12,"16,281"
2023-06-13,"15,862"
2023-06-14,"15,585"
2023-06-15,"16,692"
2023-06-16,"17,411"
2023-06-17,"16,597"
2023-06-18,"18,521"
2023-06-19,"16,963"
2023-06-20,"16,163"
2023-06-21,"16,740"
2023-06-22,"16,974"
2023-06-23,"17,087"
2023-06-24,"16,769"
2023-06-25,"17,999"
2023-06-26,"17,033"
2023-06-27,"16,347"
2023-06-28,"16,742"
2023-06-29,"17,952"
2023-06-30,"18,396"
2023-07-01,17083
2023-07-02,18881
2023-07-03,17776
2023-07-04,16786
2023-07-05,16465
2023-07-06,16193
2023-07-07,17717
2023-07-08,16754
2023-07-09,18933
2023-07-10,17924
2023-07-11,16377
2023-07-12,16710
2023-07-13,16670
2023-07-14,18563
2023-07-15,17698
2023-07-16,19292
2023-07-17,18853
2023-07-18,18046
2023-07-19,17288
2023-07-20,18409
2023-07-21,18509
2023-07-22,18122
2023-07-23,19667
2023-07-24,18979
2023-07-25,18325
2023-07-26,17328
2023-07-27,18885
2023-07-28,18912
2023-07-29,19260
2023-07-30,19778
2023-07-31,19702
2023-08-01,"17,833"
2023-08-02,"17,674"
2023-08-03,"18,069"
2023-08-04,"17,956"
2023-08-05,"18,141"
2023-08-06,"19,288"
2023-08-07,"18,049"
2023-08-08,"17,387"
2023-08-09,"17,678"
2023-08-10,"18,173"
2023-08-11,"19,523"
2023-08-12,"18,286"
2023-08-13,"20,215"
2023-08-14,"19,246"
2023-08-15,"18,800"
2023-08-16,"18,650"
2023-08-17,"18,357"
2023-08-18,"20,167"
2023-08-19,"18,641"
2023-08-20,"20,725"
2023-08-21,"19,457"
2023-08-22,"18,406"
2023-08-23,"17,983"
2023-08-24,"19,167"
2023-08-25,"19,410"
2023-08-26,"18,893"
2023-08-27,"21,034"
2023-08-28,"19,185"
2023-08-29,"18,170"
2023-08-30,"18,165"
2023-08-31,"18,766"
2023-09-01,"18,033"
2023-09-02,"18,378"
2023-09-03,"19,623"
2023-09-04,"18,092"
2023-09-05,"17,217"
2023-09-06,"16,439"
2023-09-07,"17,509"
2023-09-08,"17,155"
2023-09-09,"17,965"
2023-09-10,"19,148"
2023-09-11,"17,566"
2023-09-12,"17,229"
2023-09-13,"15,815"
2023-09-14,"17,275"
2023-09-15,"17,111"
2023-09-16,"18,574"
2023-09-17,"18,670"
2023-09-18,"18,132"
2023-09-19,"17,210"
2023-09-20,"17,105"
2023-09-21,"18,206"
2023-09-22,"18,762"
2023-09-23,"17,395"
2023-09-24,"20,199"
2023-09-25,"19,364"
2023-09-26,"18,506"
2023-09-27,"19,000"
2023-09-28,"19,035"
2023-09-29,"18,788"
2023-09-30,"18,957"
2023-10-01,"20,257"
2023-10-02,"19,506"
2023-10-03,"18,468"
2023-10-04,"18,286"
2023-10-05,"18,818"
2023-10-06,"19,314"
2023-10-07,"18,548"
2023-10-08,"20,241"
2023-10-09,"18,402"
2023-10-10,"17,396"
2023-10-11,"16,718"
2023-10-12,"17,032"
2023-10-13,"16,489"
2023-10-14,"17,488"
2023-10-15,"19,360"
2023-10-16,"16,705"
2023-10-17,"16,079"
2023-10-18,"15,454"
2023-10-19,"16,704"
2023-10-20,"17,200"
2023-10-21,"17,117"
2023-10-22,"19,581"
2023-10-23,"16,926"
2023-10-24,"15,950"
2023-10-25,"16,064"
2023-10-26,"16,989"
2023-10-27,"17,120"
2023-10-28,"16,652"
2023-10-29,"18,783"
2023-10-30,"17,382"
2023-10-31,"15,839"
2023-11-01,"15,466"
2023-11-02,"14,430"
2023-11-03,"15,775"
2023-11-04,"16,344"
2023-11-05,"17,164"
2023-11-06,"15,948"
2023-11-07,"14,446"
2023-11-08,"14,045"
2023-11-09,"13,544"
2023-11-10,"14,652"
2023-11-11,"15,280"
2023-11-12,"16,329"
2023-11-13,"16,655"
2023-11-14,"15,346"
2023-11-15,"13,866"
2023-11-16,"14,715"
2023-11-17,"14,435"
2023-11-18,"16,088"
2023-11-19,"16,875"
2023-11-20,"15,685"
2023-11-21,"15,123"
2023-11-22,"14,606"
2023-11-23,"14,475"
2023-11-24,"15,869"
2023-11-25,"16,156"
2023-11-26,"16,943"
2023-11-27,"16,210"
2023-11-28,"14,276"
2023-11-29,"14,471"
2023-11-30,"15,038"
2023-12-01,"15,372"
2023-12-02,"14,516"
2023-12-03,"16,336"
2023-12-04,"14,272"
2023-12-05,"14,259"
2023-12-06,"13,225"
2023-12-07,"13,967"
2023-12-08,"14,100"
2023-12-09,"15,157"
2023-12-10,"17,211"
2023-12-11,"16,507"
2023-12-12,"15,880"
2023-12-13,"14,145"
2023-12-14,"14,613"
2023-12-15,"15,031"
2023-12-16,"15,597"
2023-12-17,"16,446"
2023-12-18,"15,143"
2023-12-19,"14,836"
2023-12-20,"15,089"
2023-12-21,"15,567"
2023-12-22,"16,074"
2023-12-23,"16,421"
2023-12-24,"13,923"
2023-12-25,"13,027"
2023-12-26,"14,262"
2023-12-27,"15,762"
2023-12-28,"15,338"
2023-12-29,"15,841"
2023-12-30,"19,337"
2023-12-31,"17,504"
2024-01-01,"18,990"
2024-01-02,"19,961"
2024-01-03,"20,874"
2024-01-04,"18,969"
2024-01-05,"19,964"
2024-01-06,"18,471"
2024-01-07,"19,417"
2024-01-08,"18,309"
2024-01-09,"16,386"
2024-01-10,"16,128"
2024-01-11,"15,833"
2024-01-12,"16,384"
2024-01-13,"16,153"
2024-01-14,"17,733"
2024-01-15,"15,571"
2024-01-16,"14,870"
2024-01-17,"14,025"
2024-01-18,"14,309"
2024-01-19,"16,143"
2024-01-20,"15,821"
2024-01-21,"17,685"
2024-01-22,"15,681"
2024-01-23,"14,478"
2024-01-24,"14,780"
2024-01-25,"15,073"
2024-01-26,"17,604"
2024-01-27,"16,442"
2024-01-28,"19,504"
2024-01-29,"17,355"
2024-01-30,"15,686"
2024-01-31,"16,067"
2024-02-01,"14,609"
2024-02-02,"16,080"
2024-02-03,"15,576"
2024-02-04,"16,903"
2024-02-05,"15,405"
2024-02-06,"14,113"
2024-02-07,"14,411"
2024-02-08,"14,607"
2024-02-09,"14,595"
2024-02-10,"15,585"
2024-02-11,"18,231"
2024-02-12,"18,485"
2024-02-13,"17,133"
2024-02-14,"18,221"
2024-02-15,"17,871"
2024-02-16,"19,819"
2024-02-17,"17,748"
2024-02-18,"20,221"
2024-02-19,"18,692"
2024-02-20,"17,232"
2024-02-21,"16,303"
2024-02-22,"16,316"
2024-02-23,"17,675"
2024-02-24,"17,585"
2024-02-25,"19,612"
2024-02-26,"18,151"
2024-02-27,"17,036"
2024-02-28,"17,090"
2024-02-29,"16,629"
2024-03-01,"17,415"
2024-03-02,"16,649"
2024-03-03,"18,554"
2024-03-04,"16,589"
2024-03-05,"15,538"
2024-03-06,"15,460"
2024-03-07,"15,962"
2024-03-08,"17,221"
2024-03-09,"18,746"
2024-03-10,"19,170"
2024-03-11,"2,155"
2024-03-12,"13,292"
2024-03-13,"14,143"
2024-03-14,"13,602"
2024-03-15,"14,387"
2024-03-16,"15,028"
2024-03-17,"16,860"
2024-03-18,"15,204"
2024-03-19,"14,248"
2024-03-20,"14,279"
2024-03-21,"14,499"
2024-03-22,"14,917"
2024-03-23,"16,785"
2024-03-24,"17,231"
2024-03-25,"15,883"
2024-03-26,"15,454"
2024-03-27,"15,287"
2024-03-28,"15,672"
2024-03-29,"17,652"
2024-03-30,"18,787"
2024-03-31,"20,127"
2024-04-01,"19,219"
2024-04-02,"17,723"
2024-04-03,"17,620"
2024-04-04,"18,135"
2024-04-05,"19,075"
2024-04-06,"20,140"
2024-04-07,"20,131"
2024-04-08,"18,975"
2024-04-09,"17,662"
2024-04-10,"18,375"
2024-04-11,"17,414"
2024-04-12,"19,094"
2024-04-13,"19,032"
2024-04-14,"20,190"
2024-04-15,"18,329"
2024-04-16,"16,856"
2024-04-17,"15,556"
2024-04-18,"15,894"
2024-04-19,"16,828"
2024-04-20,"18,727"
2024-04-21,"19,149"
2024-04-22,"18,114"
2024-04-23,"16,518"
2024-04-24,"17,047"
2024-04-25,"18,074"
2024-04-26,"17,877"
2024-04-27,"19,040"
2024-04-28,"20,152"
2024-04-29,"19,309"
2024-04-30,"18,654"
2024-05-01,"18,716"
2024-05-02,"18,296"
2024-05-03,"19,229"
2024-05-04,"20,097"
2024-05-05,"20,154"
2024-05-06,"19,640"
2024-05-07,"19,234"
2024-05-08,"19,103"
2024-05-09,"18,443"
2024-05-10,"18,676"
2024-05-11,"20,081"
2024-05-12,"20,036"
2024-05-13,"19,418"
2024-05-14,"18,176"
2024-05-15,"17,974"
2024-05-16,"18,016"
2024-05-17,"19,028"
2024-05-18,"20,472"
2024-05-19,"20,254"
2024-05-20,"19,590"
2024-05-21,"19,451"
2024-05-22,"20,023"
2024-05-23,"19,530"
2024-05-24,"19,872"
2024-05-25,"20,861"
2024-05-26,"21,093"
2024-05-27,"20,283"
2024-05-28,"19,932"
2024-05-29,"18,725"
2024-05-30,"19,928"
2024-05-31,"19,768"
